SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2214 34th Ave,SAN FRANCISCO,CA,94116,1399950,4,3,SAN FRANCISCO,2575,2520,1938,8,544,,Active,November-3-2018 01:00 PM,November-3-2018 04:30 PM,http://www.redfin.com/CA/San-Francisco/2214-34th-Ave-94116/home/972159,MLSListings,ML81728921,N,Y,37.7457395,-122.4917103
MLS Listing,,Single Family Residential,1995 Alemany Blvd,San Francisco,CA,94112,959000,3,2.5,Mission Terrace,1982,2543,1957,8,484,,Active,November-3-2018 02:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/1995-Alemany-Blvd-94112/home/816499,San Francisco MLS,477588,N,Y,37.7201654,-122.439215
MLS Listing,,Single Family Residential,430 Nevada St,San Francisco,CA,94110,949000,2,1,Bernal Heights,880,1711,1910,8,1078,,Active,November-3-2018 02:00 PM,November-3-2018 04:30 PM,http://www.redfin.com/CA/San-Francisco/430-Nevada-St-94110/home/915989,San Francisco MLS,478098,N,Y,37.7365186,-122.4118291
MLS Listing,,Condo/Co-op,1141 Cole St,San Francisco,CA,94117,1575000,2,2,Parnassus/Ashbury Heights,1240,,,8,1270,500,Active,November-3-2018 01:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/1141-Cole-St-94117/home/602110,San Francisco MLS,476835,N,Y,37.7633991,-122.4497755
MLS Listing,,Condo/Co-op,1900 Sutter St,San Francisco,CA,94115,950000,1,1,Lower Pacific Height,651,,1980,8,1459,420,Active,November-3-2018 02:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/1900-Sutter-St-94115/unit-12/home/571301,San Francisco MLS,478071,N,Y,37.786447,-122.431999
MLS Listing,,Condo/Co-op,606 Sanchez St,San Francisco,CA,94114,1595000,2,2,Eureka Valley/Dolore,1296,,1969,8,1231,,Active,November-4-2018 01:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/606-Sanchez-St-94114/home/918992,San Francisco MLS,477444,N,Y,37.759253,-122.430717
MLS Listing,,Single Family Residential,31 Rosewood Dr,San Francisco,CA,94127,3399000,4,4,Monterey Heights,3407,4011,1927,9,998,2,Active,November-3-2018 02:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/31-Rosewood-Dr-94127/home/1750688,San Francisco MLS,478069,N,Y,37.7343759,-122.4604131
MLS Listing,,Single Family Residential,1391 41st Ave,San Francisco,CA,94122,895000,3,2,Outer Sunset,1225,2060,1941,9,731,,Active,November-4-2018 02:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/1391-41st-Ave-94122/home/2000062,San Francisco MLS,478066,N,Y,37.7608698,-122.5007849
MLS Listing,,Single Family Residential,867 Foerster St,San Francisco,CA,94127,1880000,5,3.5,Miraloma Park,2966,2644,1984,9,634,,Active,November-3-2018 02:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/867-Foerster-St-94127/home/1263273,San Francisco MLS,478038,N,Y,37.7364668,-122.4474205
MLS Listing,,Townhouse,1235 McAllister St #325,San Francisco,CA,94115,815000,2,2,Western Addition,1016,,,9,802,432,Active,November-4-2018 02:00 PM,November-4-2018 04:30 PM,http://www.redfin.com/CA/San-Francisco/1235-McAllister-St-94115/unit-325/home/147820223,San Francisco MLS,478045,N,Y,37.778246,-122.4326219
